iter	RMSE
0	4349.176575
1	4207.95877
2	4074.686647
3	3949.726272
4	3831.49211
5	3718.110668
6	3611.189827
7	3510.049422
8	3414.958387
9	3325.784789
10	3242.0682
11	3162.822271
12	3086.900831
13	3015.660732
14	2948.744879
15	2885.390897
16	2825.615972
17	2769.295255
18	2716.417431
19	2667.598698
20	2621.295302
21	2578.176684
22	2537.898454
23	2500.41001
24	2464.689254
25	2429.970314
26	2398.61939
27	2367.661574
28	2338.486429
29	2311.801213
30	2287.196324
31	2263.379281
32	2241.539078
33	2221.267237
34	2201.707634
35	2183.875686
36	2166.572658
37	2150.48849
38	2135.603699
39	2121.680214
40	2108.636657
41	2095.160189
42	2083.855268
43	2072.374993
44	2062.08539
45	2049.714652
46	2039.833184
47	2030.455736
48	2021.519247
49	2014.059284
50	2006.763652
51	1997.266406
52	1988.649129
53	1980.12735
54	1972.934401
55	1965.751542
56	1960.192592
57	1954.112235
58	1949.097437
59	1943.257607
60	1937.413729
61	1931.671275
62	1926.042097
63	1921.264288
64	1916.839684
65	1912.400009
66	1908.490892
67	1904.396047
68	1900.859187
69	1897.211825
70	1893.94113
71	1890.230228
72	1886.712589
73	1883.550817
74	1880.374286
75	1877.206173
76	1874.454533
77	1871.301896
78	1868.820053
79	1865.843551
80	1863.18928
81	1860.81141
82	1858.316055
83	1856.306079
84	1853.626178
85	1851.56956
86	1848.952011
87	1847.212293
88	1844.682802
89	1842.629952
90	1840.636103
91	1838.274433
92	1836.277265
93	1834.466251
94	1832.811973
95	1831.345456
96	1828.880682
97	1827.224181
98	1825.395979
99	1823.73611
100	1822.314149
101	1820.810737
102	1819.246514
103	1818.006394
104	1816.67045
105	1815.414513
106	1814.236402
107	1812.376731
108	1810.882635
109	1809.458443
110	1807.689515
111	1806.674251
112	1805.638034
113	1803.592012
114	1802.098638
115	1800.195198
116	1799.24591
117	1798.267324
118	1796.647859
119	1795.742525
120	1794.620546
121	1793.214171
122	1792.077606
123	1791.02458
124	1789.348538
125	1787.946188
126	1787.252412
127	1786.170761
128	1785.376961
129	1784.153621
130	1782.563767
131	1781.441793
132	1780.365856
133	1779.501812
134	1778.214734
135	1777.138509
136	1776.338278
