iter	Passed	Remaining
0	44	17669
1	86	17117
2	132	17484
3	174	17307
4	220	17387
5	265	17443
6	312	17539
7	357	17523
8	407	17701
9	464	18125
10	517	18288
11	565	18269
12	614	18279
13	661	18233
14	714	18328
15	759	18217
16	806	18166
17	852	18087
18	894	17938
19	936	17794
20	997	17994
21	1042	17908
22	1087	17824
23	1137	17824
24	1181	17726
25	1224	17615
26	1272	17584
27	1314	17460
28	1357	17364
29	1406	17341
30	1454	17311
31	1503	17292
32	1553	17280
33	1599	17221
34	1646	17170
35	1713	17326
36	1763	17296
37	1810	17243
38	1852	17149
39	1895	17056
40	1937	16963
41	1979	16872
42	2027	16830
43	2076	16800
44	2124	16759
45	2163	16649
46	2207	16579
47	2250	16505
48	2294	16435
49	2335	16350
50	2380	16291
51	2419	16192
52	2462	16123
53	2510	16084
54	2559	16057
55	2612	16045
56	2664	16036
57	2723	16058
58	2773	16031
59	2816	15959
60	2856	15876
61	2897	15797
62	2940	15728
63	2979	15641
64	3020	15568
65	3064	15508
66	3107	15445
67	3151	15386
68	3192	15316
69	3235	15251
70	3276	15184
71	3320	15127
72	3362	15063
73	3413	15036
74	3454	14970
75	3501	14926
76	3556	14917
77	3607	14893
78	3658	14866
79	3709	14837
80	3761	14814
81	3813	14787
82	3865	14764
83	3912	14719
84	3961	14680
85	4007	14631
86	4054	14587
87	4112	14580
88	4164	14553
89	4218	14531
90	4267	14489
91	4313	14441
92	4363	14405
93	4421	14393
94	4473	14362
95	4531	14351
96	4577	14298
97	4624	14249
98	4679	14228
99	4727	14183
100	4779	14149
101	4829	14108
102	4869	14040
103	4913	13985
104	4956	13925
105	4998	13863
106	5051	13832
107	5092	13768
108	5135	13710
109	5177	13649
110	5219	13588
111	5266	13543
112	5316	13503
113	5369	13470
114	5418	13427
115	5460	13368
116	5499	13302
117	5553	13272
118	5598	13220
119	5641	13162
120	5683	13104
121	5725	13046
122	5790	13040
123	5838	12996
124	5881	12939
125	5931	12898
126	5984	12864
127	6025	12803
128	6068	12749
129	6112	12694
130	6154	12637
131	6195	12578
132	6235	12518
133	6274	12455
134	6317	12400
135	6357	12340
136	6397	12282
137	6439	12226
138	6476	12161
139	6519	12106
140	6555	12041
141	6594	11981
142	6639	11931
143	6680	11875
144	6720	11818
145	6761	11763
146	6800	11704
147	6849	11663
148	6900	11623
149	6938	11564
150	6978	11508
151	7022	11458
152	7068	11410
153	7114	11365
154	7162	11320
155	7205	11270
156	7244	11213
157	7282	11154
158	7324	11101
159	7361	11042
160	7399	10983
161	7445	10937
162	7488	10887
163	7530	10836
164	7571	10783
165	7613	10731
166	7658	10685
167	7703	10637
168	7742	10582
169	7783	10530
170	7823	10477
171	7866	10427
172	7916	10387
173	7958	10337
174	8000	10285
175	8046	10241
176	8088	10190
177	8129	10139
178	8172	10090
179	8215	10041
180	8260	9994
181	8302	9944
182	8344	9894
183	8382	9840
184	8421	9787
185	8462	9736
186	8502	9684
187	8545	9636
188	8591	9591
189	8629	9538
190	8671	9488
191	8717	9443
192	8759	9394
193	8802	9346
194	8850	9303
195	8891	9254
196	8935	9207
197	8979	9161
198	9023	9113
199	9065	9065
200	9107	9016
201	9146	8965
202	9189	8917
203	9231	8869
204	9273	8820
205	9315	8772
206	9357	8724
207	9399	8676
208	9440	8627
209	9486	8583
210	9525	8532
211	9566	8483
212	9608	8435
213	9650	8387
214	9697	8344
215	9746	8302
216	9796	8261
217	9848	8222
218	9892	8175
219	9935	8129
220	9980	8084
221	10039	8050
222	10086	8005
223	10131	7960
224	10176	7914
225	10220	7869
226	10277	7832
227	10325	7789
228	10384	7754
229	10432	7711
230	10479	7667
231	10526	7622
232	10582	7584
233	10629	7540
234	10677	7496
235	10723	7451
236	10772	7408
237	10824	7368
238	10872	7323
239	10916	7277
240	10972	7238
241	11013	7190
242	11056	7143
243	11110	7103
244	11155	7057
245	11206	7015
246	11247	6966
247	11293	6921
248	11349	6882
249	11399	6839
250	11441	6791
251	11479	6742
252	11524	6696
253	11562	6646
254	11603	6597
255	11643	6549
256	11690	6505
257	11737	6460
258	11776	6411
259	11817	6363
260	11859	6315
261	11903	6269
262	11945	6222
